process,product_name,type,unit,value,product_type,carbon_content,data_source
"1,4-BDO, from glucose fermentation, according to Leiva2023",bdo_14,PRODUCT,kg,1.0,intermediate,0.5333,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",co2_feedstock,BY-PRODUCT CREDITS,kg,0.88,raw_material,0.2727272727272727,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",electricity,UTILITIES,kWh,-0.3,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",glucose,RAW MATERIALS,kg,-2.77,intermediate,0.4,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",phosphate_rock,RAW MATERIALS,kg,-0.08,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",sodium_hydroxide,RAW MATERIALS,kg,-0.06,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",steam_high,UTILITIES,MJ,-1.7325,intermediate,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",water,RAW MATERIALS,kg,-2.93,raw_material,0.0,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",yeast,RAW MATERIALS,kg,-0.02,raw_material,0.4948780487804878,https://doi.org/10.1016/j.susmat.2023.e00683
"1,4-BDO, from glucose fermentation, according to Leiva2023",co2_emission,EMISSION,kg,1.22723333333333,emission,0.2727272727272727,https://doi.org/10.1016/j.susmat.2023.e00683
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",agricultural_residue,RAW MATERIALS,kg,-1.20822174,intermediate,0.494,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",cellulose,PRODUCT,kg,1.0,intermediate,0.444,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",cooling_water,UTILITIES,MJ,-0.513251243622759,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",electricity,UTILITIES,kWh,-0.2874585517607059,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",enzyme,RAW MATERIALS,kg,-0.004071108258451006,intermediate,0.53,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",heat_high,UTILITIES,MJ,9.395107510382706,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",steam_high,UTILITIES,MJ,-2.09650284,intermediate,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",water,RAW MATERIALS,kg,-7.631231354308848,raw_material,0.0,https://doi.org/10.1016/j.biortech.2015.11.008
"methanol, from co2 hydrogenation",co2_emission,EMISSION,kg,0.080898,emission,0.2727272727272727,
"phb, from glucose fermentation",co2_emission,EMISSION,kg,1.2208725853112767,emission,0.2727272727272727,https://doi.org/10.1016/S0141-3910(02)00400-7
"fdca, from cellulose via HMF",cellulose,RAW MATERIALS,kg,-1.8487911818738518,intermediate,0.444,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",cooling_water,UTILITIES,MJ,-2.33606241026723,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",electricity,UTILITIES,kg,-0.12093018468869482,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",fdca,PRODUCT,kg,1.0,intermediate,0.4615,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",heat_high,UTILITIES,MJ,-1.3153087321885275,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",lime,RAW MATERIALS,kg,-0.043478260869565216,raw_material,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",oxygen_liquid,RAW MATERIALS,kg,-0.8842620943049602,intermediate,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",sulfuric_acid,RAW MATERIALS,kg,-0.1298224127372933,raw_material,0.0,https://doi.org/10.1016/j.rser.2021.112059
"fdca, from cellulose via HMF",tetrahydrofuran,RAW MATERIALS,kg,-0.03490508266993264,intermediate,0.58824,https://doi.org/10.1016/j.rser.2021.112059
"cellulose, from organosolv pre-treatment of agricultural residue, according to Nitzsche2016",co2_emission,EMISSION,kg,0.8958820106495379,emission,0.2727272727272727,https://doi.org/10.1016/j.biortech.2015.11.008
