process,product_name,type,unit,value,product_type,carbon_content,data_source
"carbon_monoxide, from co2",carbon_monoxide,PRODUCT,kg,1.0,intermediate,0.42857142857142855,AB
"carbon_monoxide, from co2",co2_feedstock_fossil,RAW MATERIALS,kg,-1.654,raw_material,0.2727272727272727,AB
"carbon_monoxide, from co2",electricity,UTILITIES,kWh,-0.2777777777777778,intermediate,0.0,AB
"carbon_monoxide, from co2",heat_high,UTILITIES,MJ,-2.0,intermediate,0.0,AB
"carbon_monoxide, from co2",hydrogen,RAW MATERIALS,kg,-0.07519,intermediate,0.0,AB
"carbon_monoxide, from co2",water,UTILITIES,kg,-0.64286,raw_material,0.0,AB
"methanol, from co2 hydrogenation",co2_emission_fossil,EMISSION,kg,0.080898,emission,0.2727272727272727,
"methanol, from co2 hydrogenation",co2_feedstock_fossil,RAW MATERIALS,kg,-1.45732,raw_material,0.2727272727272727,
"methanol, from co2 hydrogenation",electricity,UTILITIES,kWh,-0.257626,intermediate,0.0,
"methanol, from co2 hydrogenation",hydrogen,RAW MATERIALS,kg,-0.193204,intermediate,0.0,
"methanol, from co2 hydrogenation",methanol,PRODUCT,kg,1.0,intermediate,0.375,
"syngas_2_to_1, from mixing of co and h2",carbon_monoxide,RAW MATERIALS,kg,-0.875676,intermediate,0.42857142857142855,mass balance
"syngas_2_to_1, from mixing of co and h2",hydrogen,RAW MATERIALS,kg,-0.124324,intermediate,0.0,mass balance
"syngas_2_to_1, from mixing of co and h2",syngas_2_to_1,PRODUCT,kg,1.0,intermediate,0.374789328,mass balance
"trimethylamine, from methanol and ammonia, mass balance only",ammonia,RAW MATERIALS,kg,-0.288,intermediate,0.0,mass balance
"trimethylamine, from methanol and ammonia, mass balance only",methanol,RAW MATERIALS,kg,-1.627,intermediate,0.375,mass balance
"trimethylamine, from methanol and ammonia, mass balance only",trimethylamine,PRODUCT,kg,1.0,intermediate,0.6101694915254238,mass balance
"acetaldehyde, from ethylene by one-step oxidation",acetaldehyde,PRODUCT,kg,1.0,intermediate,0.545,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",acetic_acid,RAW MATERIALS,kg,-1.2331,intermediate,0.4,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",acetic_anhydride,PRODUCT,kg,1.0,intermediate,0.471,ihsmarkit
"chlorobenzene, from benzene and chlorine",benzene,RAW MATERIALS,kg,-0.864426344861534,intermediate,0.9230769230769231,ihsmarkit
"chlorobenzene, from benzene and chlorine",chlorine,RAW MATERIALS,kg,-0.5977689245120346,raw_material,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",chlorobenzene,PRODUCT,kg,1.0,intermediate,0.64,ihsmarkit
"acetaldehyde, from ethylene by one-step oxidation",cooling_water,UTILITIES,MJ,-7.454477587700302,intermediate,0.0,ihsmarkit
"acetic_anhydride, from acetic acid via ketene",cooling_water,UTILITIES,MJ,-3.252862981810307,intermediate,0.0,ihsmarkit
"chlorobenzene, from benzene and chlorine",cooling_water,UTILITIES,MJ,-4.431074501038049,intermediate,0.0,ihsmarkit
