process,product_name,type,unit,value,product_type,carbon_content,data_source
"benzene, from methanol-to-aromatics",benzene,PRODUCT,kg,1.0,intermediate,0.9230769230769231,AB
"benzene, from methanol-to-aromatics",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB
"benzene, from methanol-to-aromatics",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB
"benzene, from methanol-to-aromatics",methanol,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB
"benzene, from methanol-to-aromatics",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB
"ethylene, from methanol-to-olefins",electricity,UTILITIES,kWh,-0.458,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"ethylene, from methanol-to-olefins",ethylene,PRODUCT,kg,1.0,intermediate,0.85714,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"ethylene, from methanol-to-olefins",methanol,RAW MATERIALS,kg,-2.571,intermediate,0.375,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"ethylene, from methanol-to-olefins",steam_high,UTILITIES,MJ,-5.5872,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",electricity,UTILITIES,kWh,-0.458,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",methanol,RAW MATERIALS,kg,-2.571,intermediate,0.375,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",propylene,PRODUCT,kg,1.0,intermediate,0.85714,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",steam_high,UTILITIES,MJ,-5.5872,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"p-xylene, from methanol-to-aromatics",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB
"p-xylene, from methanol-to-aromatics",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB
"p-xylene, from methanol-to-aromatics",methanol,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB
"p-xylene, from methanol-to-aromatics",p-xylene,PRODUCT,kg,1.0,intermediate,0.9056603773584906,AB
"p-xylene, from methanol-to-aromatics",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",methanol,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB
"toluene, from methanol-to-aromatics",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",toluene,PRODUCT,kg,1.0,intermediate,0.91304,AB
"acetic_acid, from methanol carbonylation",acetic_acid,PRODUCT,kg,1.0,intermediate,0.4,ihsmarkit
"terephthalic_acid, from p-xylene by air oxidation",acetic_acid,RAW MATERIALS,kg,-0.0485438461538461,intermediate,0.4,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",adipic_acid,PRODUCT,kg,1.0,intermediate,0.493,ihsmarkit
"polyol_polyester, from adipic acid and deg",adipic_acid,RAW MATERIALS,kg,-0.63879,intermediate,0.493,ihsmarkit
"polymeric_mdi, by phosgenation",aniline,RAW MATERIALS,kg,-0.7691532162520732,intermediate,0.774,ihsmarkit
"nitrobenzene, from benzene by nitration",benzene,RAW MATERIALS,kg,-0.6405,intermediate,0.9230769230769231,ihsmarkit
"polybutadiene, by solution process",benzene,RAW MATERIALS,kg,-0.008012,intermediate,0.9230769230769231,ihsmarkit
"polybutadiene, by solution process",butadiene,RAW MATERIALS,kg,-1.0208,intermediate,0.889,ihsmarkit
"butene_1, from ethylene by dimerization",butene_1,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit
"ldpe, by gas phase process",butene_1,RAW MATERIALS,kg,-0.0734333333333333,intermediate,0.857,ihsmarkit
"acetic_acid, from methanol carbonylation",carbon_monoxide,RAW MATERIALS,kg,-0.4911840755388889,intermediate,0.42857142857142855,ihsmarkit
"polymeric_mdi, by phosgenation",carbon_monoxide,RAW MATERIALS,kg,-0.237432336818872,intermediate,0.42857142857142855,ihsmarkit
"polymeric_mdi, by phosgenation",chlorine,RAW MATERIALS,kg,-0.2416763293894047,raw_material,0.0,ihsmarkit
"vinyl_chloride, from ethylene by a balanced process",chlorine,RAW MATERIALS,kg,-0.5787,raw_material,0.0,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",co2_feedstock,BY-PRODUCT CREDITS,kg,0.2515407142857143,raw_material,0.2727272727272727,ihsmarkit
"acetic_acid, from methanol carbonylation",cooling_water,UTILITIES,MJ,-2.5045076933256336,intermediate,0.0,ihsmarkit
"adipic_acid, from phenol via cyclohexanol",cooling_water,UTILITIES,MJ,-7.82543572904757,intermediate,0.0,ihsmarkit
"butene_1, from ethylene by dimerization",cooling_water,UTILITIES,MJ,-3.207684333044608,intermediate,0.0,ihsmarkit
"diethylene_glycol, from ethylene via eo",cooling_water,UTILITIES,MJ,-9.310116389208288,intermediate,0.0,ihsmarkit
"dinitrotoluene, from toluene by nitration",cooling_water,UTILITIES,MJ,-0.6573495019488955,intermediate,0.0,ihsmarkit
"ethylene_glycol, from ethylene via eo",cooling_water,UTILITIES,MJ,-6.285389396787137,intermediate,0.0,ihsmarkit
"ethylene_oxide, from ethylene by oxygen oxidation",cooling_water,UTILITIES,MJ,-5.184250216543958,intermediate,0.0,ihsmarkit
"gpps, by continuous bulk polymerization",cooling_water,UTILITIES,MJ,-0.548694781290602,intermediate,0.0,ihsmarkit
"hdpe, by gas phase process",cooling_water,UTILITIES,MJ,-2.2559959668687743,intermediate,0.0,ihsmarkit
"hips, by continuous bulk polymerization",cooling_water,UTILITIES,MJ,-0.463758932438285,intermediate,0.0,ihsmarkit
"ldpe, by gas phase process",cooling_water,UTILITIES,MJ,-1.942681987151725,intermediate,0.0,ihsmarkit
