Model,Scenario,Category,IMP_marker,Region,Variable,Unit,2010,2020,2030,2040,2050
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,49.335,18.295,254.3451
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,3479.8052,9516.1019,12851.526
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Final Energy|Industry|Electricity,EJ/yr,28.1146,39.4543,65.7179,78.6358,99.1979
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity,EJ/yr,76.3377,102.3634,141.9008,169.2369,212.2864
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Biomass,EJ/yr,1.2602,1.9263,2.4902,3.7976,8.42
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.3352,0.4459,0.5387,0.645,0.7662
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Hydro,EJ/yr,12.1773,15.9384,25.9696,25.7238,25.6847
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,14.2093,23.7469,61.9673,80.0339,123.4912
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.7129,10.4456,15.7201,18.47,18.9774
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Solar,EJ/yr,0.4585,3.4836,18.8487,26.9507,45.8412
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Wind,EJ/yr,1.2146,3.7578,15.1548,24.7778,47.8255
AIM/CGE 2.2,EN_NPi2020_900f,C3,Neg-2.0,World,Secondary Energy|Electricity|Solar|PV,EJ/yr,0.4585,3.4836,18.8487,26.9507,45.8412
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,349.835163,2076.639787,4195.983920000001
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Carbon Sequestration|CCS|Fossil,Mt CO2/yr,0.0,0.0,412.6647929999999,1018.058734,2115.811376
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Final Energy|Industry|Electricity,EJ/yr,26.81993847312,32.87910086366399,38.394066306816,54.48612475555198,104.05932280128
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Secondary Energy|Electricity,EJ/yr,76.73221615189968,91.77882178079462,95.94726734788242,128.9779652852345,218.9439238690889
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Secondary Energy|Electricity|Biomass,EJ/yr,0.0819936,0.0819936,0.5380966271155679,1.271258473081104,2.023030120438656
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.2355972661008,0.1996562577024,0.6882439093631999,0.7735738194864,0.8112007455983999
COFFEE 1.1,EN_NPi2020_400f_lowBECCS,C3,Neg,World,Secondary Energy|Electricity|Hydro,EJ/yr,13.5565553448,16.89924677759999,24.8503525568208,30.531661434288,36.01392412428
