process,product_name,type,unit,value,product_type,carbon_content,data_source
"benzene, from methanol-to-aromatics",benzene,PRODUCT,kg,1.0,intermediate,0.9230769230769231,AB
"benzene, from methanol-to-aromatics",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB
"benzene, from methanol-to-aromatics",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB
"benzene, from methanol-to-aromatics",methanol,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB
"benzene, from methanol-to-aromatics",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB
"carbon_monoxide, from co2",carbon_monoxide,PRODUCT,kg,1.0,intermediate,0.42857142857142855,AB
"carbon_monoxide, from co2",co2_feedstock,RAW MATERIALS,kg,-1.654,raw_material,0.2727272727272727,AB
"carbon_monoxide, from co2",electricity,UTILITIES,kWh,-0.2777777777777778,intermediate,0.0,AB
"carbon_monoxide, from co2",heat_high,UTILITIES,MJ,-2.0,intermediate,0.0,AB
"carbon_monoxide, from co2",hydrogen,RAW MATERIALS,kg,-0.07519,intermediate,0.0,AB
"carbon_monoxide, from co2",water,UTILITIES,kg,-0.64286,raw_material,0.0,AB
"methanol, from co2 hydrogenation",co2_emission,EMISSION,kg,0.080898,emission,0.2727272727272727,
"ethylene, from methanol-to-olefins",electricity,UTILITIES,kWh,-0.458,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"ethylene, from methanol-to-olefins",ethylene,PRODUCT,kg,1.0,intermediate,0.85714,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"ethylene, from methanol-to-olefins",methanol,RAW MATERIALS,kg,-2.571,intermediate,0.375,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"ethylene, from methanol-to-olefins",steam_high,UTILITIES,MJ,-5.5872,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"methanol, from co2 hydrogenation",co2_feedstock,RAW MATERIALS,kg,-1.45732,raw_material,0.2727272727272727,
"methanol, from co2 hydrogenation",electricity,UTILITIES,kWh,-0.257626,intermediate,0.0,
"methanol, from co2 hydrogenation",hydrogen,RAW MATERIALS,kg,-0.193204,intermediate,0.0,
"methanol, from co2 hydrogenation",methanol,PRODUCT,kg,1.0,intermediate,0.375,
"propylene, from methanol-to-olefins",electricity,UTILITIES,kWh,-0.458,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",methanol,RAW MATERIALS,kg,-2.571,intermediate,0.375,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",propylene,PRODUCT,kg,1.0,intermediate,0.85714,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"propylene, from methanol-to-olefins",steam_high,UTILITIES,MJ,-5.5872,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583
"p-xylene, from methanol-to-aromatics",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB
"p-xylene, from methanol-to-aromatics",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB
"p-xylene, from methanol-to-aromatics",methanol,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB
"p-xylene, from methanol-to-aromatics",p-xylene,PRODUCT,kg,1.0,intermediate,0.9056603773584906,AB
"p-xylene, from methanol-to-aromatics",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",methanol,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB
"toluene, from methanol-to-aromatics",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB
"toluene, from methanol-to-aromatics",toluene,PRODUCT,kg,1.0,intermediate,0.91304,AB
"hdpe_mr, from mechanical recycling",electricity,UTILITIES,kWh,-0.9651016756756756,intermediate,0.0,MK2
"hdpe_mr, from mechanical recycling",heat_high,UTILITIES,MJ,-0.27647983,intermediate,0.0,MK2
"hdpe_mr, from mechanical recycling",hdpe_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"hdpe_mr, from mechanical recycling",hdpe_mr,PRODUCT,kg,1.0,intermediate,0.857,MK2
"ldpe_mr, from mechanical recycling",electricity,UTILITIES,kWh,-0.927294519189105,intermediate,0.0,MK2
"ldpe_mr, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2551223291761973,intermediate,0.0,MK2
"ldpe_mr, from mechanical recycling",ldpe_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"ldpe_mr, from mechanical recycling",ldpe_mr,PRODUCT,kg,1.0,intermediate,0.857,MK2
"pet_mr, from mechanical recycling",electricity,UTILITIES,kWh,-0.7530444654713824,intermediate,0.0,MK2
"pet_mr, from mechanical recycling",heat_high,UTILITIES,MJ,-0.1566873763347732,intermediate,0.0,MK2
"pet_mr, from mechanical recycling",pet_waste,RAW MATERIALS,kg,-1.0,waste,0.63,MK2
"pet_mr, from mechanical recycling",pet_mr,PRODUCT,kg,1.0,intermediate,0.63,MK2
"pp_mr, from mechanical recycling",electricity,UTILITIES,kWh,-0.959129589810281,intermediate,0.0,MK2
"pp_mr, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2731061610800617,intermediate,0.0,MK2
"pp_mr, from mechanical recycling",pp_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"pp_mr, from mechanical recycling",pp_mr,PRODUCT,kg,1.0,intermediate,0.857,MK2
"gpps_mr, from mechanical recycling",electricity,UTILITIES,kWh,-0.831115039566581,intermediate,0.0,MK2
"gpps_mr, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2007899353607402,intermediate,0.0,MK2
"gpps_mr, from mechanical recycling",gpps_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"gpps_mr, from mechanical recycling",gpps_mr,PRODUCT,kg,1.0,intermediate,0.857,MK2
