process,product_name,type,unit,value,product_type,carbon_content,data_source
"hdpe, from mechanical recycling",electricity,UTILITIES,kWh,-0.9651016756756756,intermediate,0.0,MK2
"hdpe, from mechanical recycling",heat_high,UTILITIES,MJ,-0.27647983,intermediate,0.0,MK2
"hdpe, from mechanical recycling",hdpe_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"hdpe, from mechanical recycling",hdpe,PRODUCT,kg,1.0,intermediate,0.857,MK2
"ldpe, from mechanical recycling",electricity,UTILITIES,kWh,-0.927294519189105,intermediate,0.0,MK2
"ldpe, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2551223291761973,intermediate,0.0,MK2
"ldpe, from mechanical recycling",ldpe_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"ldpe, from mechanical recycling",ldpe,PRODUCT,kg,1.0,intermediate,0.857,MK2
"pet, from mechanical recycling",electricity,UTILITIES,kWh,-0.7530444654713824,intermediate,0.0,MK2
"pet, from mechanical recycling",heat_high,UTILITIES,MJ,-0.1566873763347732,intermediate,0.0,MK2
"pet, from mechanical recycling",pet_waste,RAW MATERIALS,kg,-1.0,waste,0.63,MK2
"pet, from mechanical recycling",pet,PRODUCT,kg,1.0,intermediate,0.63,MK2
"pp, from mechanical recycling",electricity,UTILITIES,kWh,-0.959129589810281,intermediate,0.0,MK2
"pp, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2731061610800617,intermediate,0.0,MK2
"pp, from mechanical recycling",pp_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"pp, from mechanical recycling",pp,PRODUCT,kg,1.0,intermediate,0.857,MK2
"gpps, from mechanical recycling",electricity,UTILITIES,kWh,-0.831115039566581,intermediate,0.0,MK2
"gpps, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2007899353607402,intermediate,0.0,MK2
"gpps, from mechanical recycling",gpps_waste,RAW MATERIALS,kg,-1.0,waste,0.857,MK2
"gpps, from mechanical recycling",gpps,PRODUCT,kg,1.0,intermediate,0.857,MK2
"pvc, from mechanical recycling",electricity,UTILITIES,kWh,-0.7155503618729171,intermediate,0.0,MK2
"pvc, from mechanical recycling",heat_high,UTILITIES,MJ,-0.1355067210591931,intermediate,0.0,MK2
"pvc, from mechanical recycling",pvc_waste,RAW MATERIALS,kg,-1.0,waste,0.38,MK2
"pvc, from mechanical recycling",pvc,PRODUCT,kg,1.0,intermediate,0.38,MK2
"hips, from mechanical recycling",electricity,UTILITIES,kWh,-0.9982443310201967,intermediate,0.0,MK2
"hips, from mechanical recycling",heat_high,UTILITIES,MJ,-0.2007899353607402,intermediate,0.0,MK2
"hips, from mechanical recycling",hips_waste,RAW MATERIALS,kg,-1.0,waste,0.923,MK2
"hips, from mechanical recycling",hips,PRODUCT,kg,1.0,intermediate,0.923,MK2
"methanol, from pp_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from pp_waste gasification",pp_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from pp_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from pp_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from pp_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from pp_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from pp_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from pp_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from ldpe_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from ldpe_waste gasification",ldpe_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from ldpe_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from ldpe_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from ldpe_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from ldpe_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from ldpe_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from ldpe_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from hdpe_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from hdpe_waste gasification",hdpe_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
"methanol, from hdpe_waste gasification",oxygen_liquid,RAW MATERIALS,kg,-0.638816644993498,intermediate,0.0,Prifti2023
"methanol, from hdpe_waste gasification",water,RAW MATERIALS,kg,-0.8010403120936281,raw_material,0.0,Prifti2023
"methanol, from hdpe_waste gasification",electricity,UTILITIES,kWh,-0.4372561768530559,intermediate,0.0,Prifti2023
"methanol, from hdpe_waste gasification",co2_emission,EMISSION,kg,0.6816914174252275,emission,0.2727272727272727,Prifti2023
"methanol, from hdpe_waste gasification",co2_feedstock,BY-PRODUCT CREDITS,kg,0.8046163849154746,raw_material,0.2727272727272727,Prifti2023
"methanol, from hdpe_waste gasification",heat_high,UTILITIES,MJ,-4.400520156046815,intermediate,0.0,Prifti2023
"methanol, from gpps_waste gasification",methanol,PRODUCT,kg,1.0,intermediate,0.375,Prifti2023
"methanol, from gpps_waste gasification",gpps_waste,RAW MATERIALS,kg,-0.812743823146944,waste,0.857,Prifti2023
