process,product_name,unit,value,type
"toluene, liquid, from BTX production, from pyrolysis gas, average",toluene,kg,1.0,PRODUCT
"toluene, liquid, from BTX production, from pyrolysis gas, average",electricity,kWh,-0.04781460955959864,UTILITIES
"toluene, liquid, from BTX production, from pyrolysis gas, average",heat_high,MJ,-1.408729886158476,UTILITIES
"toluene, liquid, from BTX production, from pyrolysis gas, average",hydrogen,kg,-0.039312264543616575,RAW MATERIALS
"toluene, liquid, from BTX production, from pyrolysis gas, average",pyrolysis_gas,kg,-1.0726112047259178,RAW MATERIALS
"toluene, liquid, from BTX production, from pyrolysis gas, average",water,kg,-0.02276640590311619,RAW MATERIALS
"toluene, liquid, from BTX production, from pyrolysis gas, average",co2_emission_fossil,kg,0.21660919106570153,EMISSION
"toluene, liquid, from BTX production, from pyrolysis gas, average",co_emission,kg,6.588116739080718e-05,EMISSION
"toluene, liquid, from BTX production, from pyrolysis gas, average",n2o_emission,kg,5.712239941457643e-06,EMISSION
"toluene, liquid, from BTX production, from pyrolysis gas, average",ch4_emission,kg,4.950607956714421e-06,EMISSION
"toluene, liquid, from BTX production, from pyrolysis gas, average",nmvoc_emission,kg,1.3557384845492983e-05,EMISSION
"toluene, liquid, from BTX production, from pyrolysis gas, average",nox_emission,kg,0.00022468143794215675,EMISSION
"toluene, liquid, from BTX production, from pyrolysis gas, average",sox_emission,kg,0.000468486622328167,EMISSION
"toluene, liquid, from BTX production, from reformate, average",toluene,kg,1.0,PRODUCT
"toluene, liquid, from BTX production, from reformate, average",electricity,kWh,-0.04036691449284443,UTILITIES
"toluene, liquid, from BTX production, from reformate, average",heat_high,MJ,-2.604846144722076,UTILITIES
"toluene, liquid, from BTX production, from reformate, average",reformate,kg,-1.034557501720613,RAW MATERIALS
"toluene, liquid, from BTX production, from reformate, average",co2_emission_fossil,kg,0.1027032550953354,EMISSION
"toluene, liquid, from BTX production, from reformate, average",co_emission,kg,3.123694940030381e-05,EMISSION
"toluene, liquid, from BTX production, from reformate, average",n2o_emission,kg,2.708406017565056e-06,EMISSION
"toluene, liquid, from BTX production, from reformate, average",ch4_emission,kg,2.347285215223048e-06,EMISSION
"toluene, liquid, from BTX production, from reformate, average",nmvoc_emission,kg,9.894813168854476e-06,EMISSION
"toluene, liquid, from BTX production, from reformate, average",nox_emission,kg,0.00010653063668177291,EMISSION
"toluene, liquid, from BTX production, from reformate, average",sox_emission,kg,0.00022212862180202145,EMISSION
"benzene, from BTX production, from pyrolysis gas, average",benzene,kg,1.0,PRODUCT
"benzene, from BTX production, from pyrolysis gas, average",electricity,kWh,-0.06306625220177653,UTILITIES
"benzene, from BTX production, from pyrolysis gas, average",heat_high,MJ,-1.7142832329052997,UTILITIES
"benzene, from BTX production, from pyrolysis gas, average",hydrogen,kg,-0.05685346200804901,RAW MATERIALS
"benzene, from BTX production, from pyrolysis gas, average",pyrolysis_gas,kg,-1.0742658268614966,RAW MATERIALS
"benzene, from BTX production, from pyrolysis gas, average",water,kg,-0.027704436667880725,RAW MATERIALS
"benzene, from BTX production, from pyrolysis gas, average",co2_emission_fossil,kg,0.2635916991508616,EMISSION
"benzene, from BTX production, from pyrolysis gas, average",co_emission,kg,8.017078485519047e-05,EMISSION
"benzene, from BTX production, from pyrolysis gas, average",n2o_emission,kg,6.951224113428927e-06,EMISSION
