,product_from,product_to,flow_amount,product_code_from,product_code_to
0,agricultural_residue,biomass,781.989426819857,0,14
2,biomass,heat,362.22996697768434,14,15
3,biomass,lactic_acid,12.109082909894106,14,16
4,biomass,methanol,516.3149909205391,14,17
5,biomass,other_intermediates,31.253665897272814,14,18
6,btx,loss,7.470179571882298,22,19
8,btx,plastic_product,124.27446516991493,22,20
11,co2_feedstock,methanol,242.48462027352656,23,17
13,ethylene,loss,26.93963006830648,21,19
14,ethylene,plastic_product,248.93477214910868,21,20
15,forest_residue,biomass,139.91827988553334,5,14
17,fossil_fuel,ethylene,25.597729781686972,6,21
20,heat,loss,362.22996697768434,15,19
21,lactic_acid,loss,7.627444901700385,16,19
22,lactic_acid,plastic_product,4.879735899289975,16,20
23,methanol,btx,131.74464474179723,17,22
24,methanol,co2_feedstock,241.28918924956068,17,23
25,methanol,ethylene,243.07163942225222,17,21
26,methanol,loss,210.6188203982764,17,19
27,methanol,other_intermediates,1.9906659120504577,17,18
28,methanol,propylene,186.9781841709632,17,24
29,other_intermediates,co2_feedstock,3.3484033468418244,18,23
30,other_intermediates,ethylene,7.205033013475967,18,21
31,other_intermediates,lactic_acid,0.3980978910962545,18,16
33,other_intermediates,other_intermediates,3.151976109782516,18,18
34,other_intermediates,plastic_product,25.96274877078961,18,20
36,plastic_product,loss,36.92699566303645,20,19
37,plastic_product,plastic_waste,643.728000630405,20,25
38,plastic_waste,loss,166.51340930447745,25,19
39,plastic_waste,methanol,256.89353270083444,25,17
40,plastic_waste,plastic_product,220.32105862509295,25,20
41,propylene,loss,20.748202809314677,24,19
42,propylene,other_intermediates,2.208194511707805,24,18
43,propylene,plastic_product,164.02178684994072,24,20
