,process,product_name,type,unit,value,product_type,carbon_content,data_source,flow_amount,flowxvalue,ghg,bdv,health
0,"benzene, from methanol-to-aromatics_co2",benzene_co2,PRODUCT,kg,1.0,intermediate,0.9230769230769231,AB,0.0,0.0,,,
1,"benzene, from methanol-to-aromatics_co2",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB,0.0,-0.0,,,
2,"benzene, from methanol-to-aromatics_co2",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB,0.0,-0.0,,,
3,"benzene, from methanol-to-aromatics_co2",methanol_co2,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB,0.0,-0.0,,,
4,"benzene, from methanol-to-aromatics_co2",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB,0.0,-0.0,,,
5,"carbon_monoxide, from co2_co2",carbon_monoxide_co2,PRODUCT,kg,1.0,intermediate,0.42857142857142855,AB,0.0,0.0,,,
6,"carbon_monoxide, from co2_co2",co2_feedstock_fossil,RAW MATERIALS,kg,-1.654,raw_material,0.2727272727272727,AB,0.0,-0.0,0.0,0.0,0.0
7,"carbon_monoxide, from co2_co2",electricity,UTILITIES,kWh,-0.2777777777777778,intermediate,0.0,AB,0.0,-0.0,,,
8,"carbon_monoxide, from co2_co2",heat_high,UTILITIES,MJ,-2.0,intermediate,0.0,AB,0.0,-0.0,,,
9,"carbon_monoxide, from co2_co2",hydrogen,RAW MATERIALS,kg,-0.07519,intermediate,0.0,AB,0.0,-0.0,,,
10,"carbon_monoxide, from co2_co2",water,UTILITIES,kg,-0.64286,raw_material,0.0,AB,0.0,-0.0,0.0,0.0,0.0
11,"methanol, from co2 hydrogenation_co2",co2_emission_fossil,EMISSION,kg,0.080898,emission,0.2727272727272727,,0.0,0.0,1.0,0.0,0.0
12,"ethylene, from methanol-to-olefins_co2",electricity,UTILITIES,kWh,-0.458,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,-0.0,,,
13,"ethylene, from methanol-to-olefins_co2",ethylene_co2,PRODUCT,kg,1.0,intermediate,0.85714,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,0.0,,,
14,"ethylene, from methanol-to-olefins_co2",methanol_co2,RAW MATERIALS,kg,-2.571,intermediate,0.375,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,-0.0,,,
15,"ethylene, from methanol-to-olefins_co2",steam_high,UTILITIES,MJ,-5.5872,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,-0.0,,,
16,"methanol, from co2 hydrogenation_co2",co2_feedstock_fossil,RAW MATERIALS,kg,-1.45732,raw_material,0.2727272727272727,,0.0,-0.0,0.0,0.0,0.0
17,"methanol, from co2 hydrogenation_co2",electricity,UTILITIES,kWh,-0.257626,intermediate,0.0,,0.0,-0.0,,,
18,"methanol, from co2 hydrogenation_co2",hydrogen,RAW MATERIALS,kg,-0.193204,intermediate,0.0,,0.0,-0.0,,,
19,"methanol, from co2 hydrogenation_co2",methanol_co2,PRODUCT,kg,1.0,intermediate,0.375,,0.0,0.0,,,
20,"propylene, from methanol-to-olefins_co2",electricity,UTILITIES,kWh,-0.458,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,-0.0,,,
21,"propylene, from methanol-to-olefins_co2",methanol_co2,RAW MATERIALS,kg,-2.571,intermediate,0.375,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,-0.0,,,
22,"propylene, from methanol-to-olefins_co2",propylene_co2,PRODUCT,kg,1.0,intermediate,0.85714,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,0.0,,,
23,"propylene, from methanol-to-olefins_co2",steam_high,UTILITIES,MJ,-5.5872,intermediate,0.0,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12583,0.0,-0.0,,,
24,"p-xylene, from methanol-to-aromatics_co2",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB,0.0,-0.0,,,
25,"p-xylene, from methanol-to-aromatics_co2",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB,0.0,-0.0,,,
26,"p-xylene, from methanol-to-aromatics_co2",methanol_co2,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB,0.0,-0.0,,,
27,"p-xylene, from methanol-to-aromatics_co2",p-xylene_co2,PRODUCT,kg,1.0,intermediate,0.9056603773584906,AB,0.0,0.0,,,
28,"p-xylene, from methanol-to-aromatics_co2",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB,0.0,-0.0,,,
29,"toluene, from methanol-to-aromatics_co2",cooling_water,UTILITIES,MJ,-0.4882948615178236,intermediate,0.0,AB,0.0,-0.0,,,
30,"toluene, from methanol-to-aromatics_co2",electricity,UTILITIES,kWh,-0.12130555555555554,intermediate,0.0,AB,0.0,-0.0,,,
31,"toluene, from methanol-to-aromatics_co2",methanol_co2,RAW MATERIALS,kg,-2.591093117,intermediate,0.375,AB,0.0,-0.0,,,
32,"toluene, from methanol-to-aromatics_co2",steam_high,UTILITIES,MJ,-4.9386,intermediate,0.0,AB,0.0,-0.0,,,
33,"toluene, from methanol-to-aromatics_co2",toluene_co2,PRODUCT,kg,1.0,intermediate,0.91304,AB,0.0,0.0,,,
34,"acetic_acid, from methanol carbonylation_co2",acetic_acid_co2,PRODUCT,kg,1.0,intermediate,0.4,ihsmarkit,0.0,0.0,,,
35,"terephthalic_acid, from p-xylene by air oxidation_co2",acetic_acid_co2,RAW MATERIALS,kg,-0.0485438461538461,intermediate,0.4,ihsmarkit,0.0,-0.0,,,
36,"adipic_acid, from phenol via cyclohexanol_co2",adipic_acid_co2,PRODUCT,kg,1.0,intermediate,0.493,ihsmarkit,0.0,0.0,,,
37,"polyol_polyester, from adipic acid and deg_co2",adipic_acid_co2,RAW MATERIALS,kg,-0.63879,intermediate,0.493,ihsmarkit,0.0,-0.0,,,
38,"polymeric_mdi, by phosgenation_co2",aniline_co2,RAW MATERIALS,kg,-0.7691532162520732,intermediate,0.774,ihsmarkit,0.0,-0.0,,,
39,"nitrobenzene, from benzene by nitration_co2",benzene_co2,RAW MATERIALS,kg,-0.6405,intermediate,0.9230769230769231,ihsmarkit,0.0,-0.0,,,
40,"butene_1, from ethylene by dimerization_co2",butene_1_co2,PRODUCT,kg,1.0,intermediate,0.857,ihsmarkit,0.0,0.0,,,
41,"ldpe, by gas phase process_co2",butene_1_co2,RAW MATERIALS,kg,-0.0734333333333333,intermediate,0.857,ihsmarkit,0.0,-0.0,,,
42,"acetic_acid, from methanol carbonylation_co2",carbon_monoxide_co2,RAW MATERIALS,kg,-0.4911840755388889,intermediate,0.42857142857142855,ihsmarkit,0.0,-0.0,,,
43,"polymeric_mdi, by phosgenation_co2",carbon_monoxide_co2,RAW MATERIALS,kg,-0.237432336818872,intermediate,0.42857142857142855,ihsmarkit,0.0,-0.0,,,
44,"polymeric_mdi, by phosgenation_co2",chlorine,RAW MATERIALS,kg,-0.2416763293894047,raw_material,0.0,ihsmarkit,0.0,-0.0,-0.1744072287511958,-0.0,-1.8090201979914512e-07
